"","log2FoldChange","pvalue","padj","meanTPM_E5","meanTPM_L5"
"Cd300lb",2.78170459965935,2.94248822362486e-23,2.31995698016881e-21,0.612589374632021,4.37227323111282
"Irf4",2.47347120978588,3.67679321877651e-23,2.88731217884082e-21,2.31450988075472,13.4849126328155
"Nap1l1",1.50171192088652,5.01858791780389e-23,3.92529553794127e-21,102.677618896248,287.550153952374
"Hcst",-1.64209014186429,5.22492054920504e-23,4.07046191357117e-21,783.748035268089,238.877755132903
"Gpr132",-1.5983068419495,5.98702050477972e-23,4.64573859880772e-21,48.7296455190502,14.9477830666383
"Trdv2-2",-1.91110414824963,7.15046571944562e-23,5.52669066945498e-21,124.642711735007,31.8088895984743
"Mpo",-4.78456265138824,8.46859638406804e-23,6.51982291027544e-21,1.78306836165614,0.0889611006369125
"Mzb1",-4.0363382014499,1.02972877773853e-22,7.89673256428239e-21,13.3688623351014,0.901836872309899
"Tmprss11e",5.58216862196543,1.05846910425694e-22,8.08555076061174e-21,0.0260634154485739,1.31549708001319
"Golm1",-2.27069532062159,1.4226903032903e-22,1.08256806334089e-20,34.8151034607535,7.18767018668135
